Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
1161,MMP,B+,Magellan Midstream Partners L.P. Limited Partners,95.794,21.84,12/11/2020
1163,NDAQ,B+,"Nasdaq, Inc. - Common Stock",95.788,4.8,12/12/2020
1162,NKE,B+,"Nike, Inc. Common Stock",95.788,23.32,11/22/2020
1164,HDS,B+,"HD Supply Holdings, Inc. - Common Stock",95.777,32.94,12/17/2020
1165,AKAM,B+,"Akamai Technologies, Inc. - Common Stock",95.771,-10.57,12/4/2020
1166,MTB,B+,M&T; Bank Corporation Common Stock,95.734,23.64,11/18/2020
1167,OPCH,B+,"Option Care Health, Inc. - Common Stock",95.693,26.96,12/13/2020
1168,MS,B+,Morgan Stanley Common Stock,95.683,47.16,12/8/2020
1170,ZLAB,B+,Zai Lab Limited - American Depositary Shares,95.671,75.94,12/15/2020
1169,APLE,B+,"Apple Hospitality REIT, Inc. Common Shares",95.671,29.59,12/14/2020
1171,MTSI,B+,"MACOM Technology Solutions Holdings, Inc. - Commo",95.662,55.55,12/17/2020
1172,GLW,B+,Corning Incorporated Common Stock,95.653,13.12,12/17/2020
1173,XOM,B+,Exxon Mobil Corporation Common Stock,95.642,16.91,12/17/2020
1174,DCP,B+,"DCP Midstream,  LP Common Units",95.636,79.13,12/17/2020
1176,DCPH,B+,"Deciphera Pharmaceuticals, Inc. - Common Stock",95.634,1.58,12/17/2020
1175,RIO,B+,Rio Tinto Plc Common Stock,95.634,18.93,12/18/2020
1177,ETRN,B+,Equitrans Midstream Corporation Common Stock,95.632,-10.71,12/18/2020
1178,FWRD,B+,Forward Air Corporation - Common Stock,95.627,33.55,12/16/2020
1179,CPA,B+,"Copa Holdings, S.A. Copa Holdings, S.A. Class A C",95.602,39.96,12/1/2020
1180,OI,B+,"Owens-Illinois, Inc. Common Stock",95.597,7.46,12/7/2020
1181,IMMU,B+,"Immunomedics, Inc. - Common Stock",95.597,2.72,12/18/2020
1182,PRAA,B+,"PRA Group, Inc. - Common Stock",95.592,-3.06,12/17/2020
1183,HLT,B+,Hilton Worldwide Holdings Inc. Common Stock,95.59,16.86,12/17/2020
1184,csod,B+,"Cornerstone OnDemand, Inc. - Common Stock",95.589,32.56,12/15/2020
1185,IART,B,Integra LifeSciences Holdings Corporation - Commo,95.559,33.38,10/31/2020
1186,DHI,B,"D.R. Horton, Inc. Common Stock",95.545,1.26,12/18/2020
1187,NFLX,B,"Netflix, Inc. - Common Stock",95.534,8.03,12/18/2020
1188,TSN,B,"Tyson Foods, Inc. Common Stock",95.531,4.75,11/18/2020
1189,CHDN,B,"Churchill Downs, Incorporated - Common Stock",95.518,23.32,12/17/2020
1190,DAVA,B,Endava plc American Depositary Shares (each repre,95.514,24.16,12/17/2020
1191,ENS,B,Enersys Common Stock,95.512,23.53,12/14/2020
1192,CPB,B,Campbell Soup Company Common Stock,95.501,3.94,12/16/2020
1193,CNNE,B,"Cannae Holdings, Inc. Common Stock",95.495,21.26,12/11/2020
1194,GMED,B,"Globus Medical, Inc. Class A Common Stock",95.491,28.32,12/11/2020
1195,FNB,B,F.N.B. Corporation Common Stock,95.484,32.35,12/15/2020
1196,MRCY,B,Mercury Systems Inc - Common Stock,95.468,12.03,12/16/2020
1197,SWCH,B,"Switch, Inc. Class A Common Stock",95.467,4.33,12/16/2020
1198,NEP,B,"NextEra Energy Partners, LP Common Units represen",95.442,23.49,12/14/2020
1199,NCR,B,NCR Corporation Common Stock,95.431,76,12/17/2020
1200,BXP,B,"Boston Properties, Inc. Common Stock",95.421,18.34,11/1/2020
1201,ENSG,B,"The Ensign Group, Inc. - Common Stock",95.399,34.92,11/23/2020
1202,GIL,B,"Gildan Activewear, Inc. Class A Sub. Vot. Common",95.372,37.66,11/20/2020
1203,CVS,B,CVS Health Corporation Common Stock,95.363,16.39,10/29/2020
1204,INOV,B,"Inovalon Holdings, Inc. - Class A Common Stock",95.359,-26.84,12/11/2020
1205,QLYS,B,"Qualys, Inc. - Common Stock",95.351,11.18,12/5/2020
1206,SNE,B,Sony Corporation Common Stock,95.34,22.94,12/17/2020
1207,APAM,B,Artisan Partners Asset Management Inc. Class A Co,95.334,26.82,12/8/2020
1208,FTNT,B,"Fortinet, Inc. - Common Stock",95.327,6.21,12/17/2020
1209,MRVI,B,"Maravai LifeSciences Holdings, Inc. - Class A com",95.313,191.22,12/16/2020
1210,LPX,B,Louisiana-Pacific Corporation Common Stock,95.296,13.82,12/13/2020
1211,IMO,B,Imperial Oil Limited Common Stock,95.276,36.62,12/5/2020
1212,FIS,B,"Fidelity National Information Services, Inc. Comm",95.266,-0.32,12/13/2020
1213,MCD,B,McDonald's Corporation Common Stock,95.253,-2.6,12/12/2020
1214,LLY,B,Eli Lilly and Company Common Stock,95.226,11.99,12/16/2020
1215,KIM,B,Kimco Realty Corporation Common Stock,95.219,23.61,12/15/2020
1216,slb,B,Schlumberger N.V. Common Stock,95.206,22.77,11/30/2020
1217,PNR,B,Pentair plc. Ordinary Share,95.204,13.66,12/10/2020
1218,CMA,B,Comerica Incorporated Common Stock,95.184,39.84,11/6/2020
1219,pypl,B,"PayPal Holdings, Inc. - Common Stock",95.157,33.58,12/18/2020
1220,HRI,B,Herc Holdings Inc. Common Stock,95.154,50.25,12/11/2020
1221,SHLX,B,"Shell Midstream Partners, L.P. Common Units repre",95.106,4.16,12/15/2020
1222,TMX,B,"Terminix Global Holdings, Inc. Common Stock",95.099,19.89,12/7/2020
1223,sbny,B,Signature Bank - Common Stock,95.091,45.2,11/10/2020
1224,UGP,B,Ultrapar Participacoes S.A. (New) American Deposi,95.086,10.08,12/15/2020
1225,STM,B,STMicroelectronics N.V. Common Stock,95.085,21.71,11/10/2020
1226,BK,B,Bank of New York Mellon Corporation (The) Common,95.077,14.19,11/12/2020
1227,DOX,B,Amdocs Limited - Ordinary Shares,95.075,16.11,12/17/2020
1228,AAP,B,Advance Auto Parts Inc Advance Auto Parts Inc W/I,95.054,2.26,12/13/2020
1229,PLXS,B,Plexus Corp. - Common Stock,95.051,5.1,12/1/2020
1230,STZ,B,"Constellation Brands, Inc. Common Stock",95.015,16.24,10/28/2020
1231,GMAB,B,Genmab A/S - American Depositary Shares,95.014,4.17,11/30/2020
1232,pch,B,Potlatch Corporation - Common Stock,95.012,25.22,11/18/2020
1233,BRKS,B,"Brooks Automation, Inc. - Common Stock",94.999,65.38,11/15/2020
1234,WDAY,B,"Workday, Inc. Common Stock",94.984,16.49,12/11/2020
1235,NXST,B,"Nexstar Media Group, Inc. - Class A Common Stock",94.981,-1.77,12/14/2020
1236,PANW,B,"Palo Alto Networks, Inc. Common Stock",94.977,35.93,11/21/2020
1237,NLSN,B,Nielsen N.V. Ordinary Shares,94.96,32.77,12/13/2020
1238,PCTY,B,Paylocity Holding Corporation - Common Stock,94.943,39.2,10/19/2020
1239,BAM,B,Brookfield Asset Management Inc. Common Stock,94.922,22.78,11/29/2020
1240,HQY,B,"HealthEquity, Inc. - Common Stock",94.918,31.43,12/12/2020
1241,IBP,B,"Installed Building Products, Inc. Common Stock",94.9,2.67,11/7/2020
1242,holx,B,"Hologic, Inc. - Common Stock",94.802,14.94,11/22/2020
1243,GE,B,General Electric Company Common Stock,94.785,58.26,11/25/2020
1244,AZO,B,"AutoZone, Inc. Common Stock",94.785,-4.14,10/15/2020
1245,LPLA,B,LPL Financial Holdings Inc. - Common Stock,94.777,30.48,12/7/2020
1246,ui,B,Ubiquiti Inc. Common Stock,94.77,69.87,11/22/2020
1247,STL,B,Sterling Bancorp,94.759,58.2,11/19/2020
1248,mtg,B,MGIC Investment Corporation Common Stock,94.741,35.33,12/10/2020
1249,UNF,B,Unifirst Corporation Common Stock,94.737,11.99,12/1/2020
1250,NSIT,B,"Insight Enterprises, Inc. - Common Stock",94.725,30.05,12/18/2020
1251,TW,B,Tradeweb Markets Inc. - Class A Common Stock,94.72,23.4,11/17/2020
1252,CNQ,B,Canadian Natural Resources Limited Common Stock,94.701,39.81,11/9/2020
1253,KNSL,B,"Kinsale Capital Group, Inc. - Common Stock",94.691,40.22,12/13/2020
1254,QGEN,B,Qiagen N.V. - Common Shares,94.678,1.61,12/17/2020
1255,QTWO,B,"Q2 Holdings, Inc. Common Stock",94.649,31.25,12/16/2020
1256,QCOM,B,QUALCOMM Incorporated - Common Stock,94.647,35.42,12/12/2020
1257,QSR,B,Restaurant Brands International Inc. Common Share,94.646,10.82,12/7/2020
1258,NNN,B,National Retail Properties Common Stock,94.636,10.57,11/29/2020
1259,WFC,B,Wells Fargo & Company Common Stock,94.629,18.16,12/11/2020
1260,KHC,B,The Kraft Heinz Company - Common Stock,94.62,16.41,12/14/2020
1261,BIPC,B,Brookfield Infrastructure Partners LP Class A Sub,94.617,23.56,12/14/2020
1262,PKG,B,Packaging Corporation of America Common Stock,94.616,19.89,11/26/2020
1263,HBAN,B,Huntington Bancshares Incorporated - Common Stock,94.612,27.35,12/18/2020
1264,BKH,B,Black Hills Corporation Common Stock,94.593,12.61,12/2/2020
1265,JHG,B,Janus Henderson Group plc Ordinary Shares,94.59,62.08,12/10/2020
1266,ALLE,B,Allegion plc Ordinary Shares,94.557,9.04,11/26/2020
1267,BAH,B,Booz Allen Hamilton Holding Corporation Common St,94.554,7.2,12/18/2020
1268,IPG,B,"Interpublic Group of Companies, Inc. (The) Common",94.547,35.2,12/16/2020
1269,WST,B,"West Pharmaceutical Services, Inc. Common Stock",94.543,-8.47,11/6/2020
1270,PCRX,B,"Pacira Pharmaceuticals, Inc. - Common Stock",94.509,0.74,12/11/2020
1271,BERY,B,"Berry Global Group, Inc. Common Stock",94.506,11,12/18/2020
1272,CG,B-,The Carlyle Group L.P. - Common Units,94.477,27.7,12/18/2020
1273,ALSN,B-,"Allison Transmission Holdings, Inc. Common Stock",94.465,27.22,12/18/2020
1274,ENB,B-,Enbridge Inc Common Stock,94.435,9.34,12/18/2020
1275,HSY,B-,The Hershey Company Common Stock,94.422,9.2,12/18/2020
1276,FCAU,B-,Fiat Chrysler Automobiles N.V. Common Shares,94.409,42.99,12/18/2020
1277,VNT,B-,Vontier Corporation Common Stock,94.383,19.13,12/8/2020
1278,DXC,B-,DXC Technology Company Common Stock,94.372,26.81,12/10/2020
1279,ESLT,B-,Elbit Systems Ltd. - Ordinary Shares,94.366,-0.34,12/2/2020
1280,CVET,B-,"Covetrus, Inc. - Common Stock",94.339,41.47,12/17/2020
1281,EDU,B-,"New Oriental Education & Technology Group, Inc. S",94.322,-85.25,12/14/2020
1282,TNET,B-,"TriNet Group, Inc. Common Stock",94.301,33.71,12/18/2020
1283,MEDP,B-,"Medpace Holdings, Inc. - Common Stock",94.298,24.13,12/11/2020
1284,PRU,B-,"Prudential Financial, Inc. Common Stock",94.278,14.24,12/16/2020
1285,OSB,B-,Norbord Inc. Common Stock,94.26,42.67,12/11/2020
1286,KSU,B-,Kansas City Southern Common Stock,94.248,6.68,12/8/2020
1287,SAIA,B-,"Saia, Inc. - Common Stock",94.238,48.02,12/6/2020
1288,CPRT,B-,"Copart, Inc. - Common Stock",94.232,9.36,12/15/2020
1289,CNP,B-,"CenterPoint Energy, Inc (Holding Co) Common Stock",94.223,15.58,12/11/2020
1290,FOXF,B-,Fox Factory Holding Corp. - Common Stock,94.221,36.56,12/17/2020
1291,BRO,B-,"Brown & Brown, Inc. Common Stock",94.218,4.68,12/13/2020
1292,MKTX,B-,"MarketAxess Holdings, Inc. - Common Stock",94.21,28.07,12/15/2020
1293,SAIC,B-,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Co,94.205,22.54,12/11/2020
1295,BR,B-,"Broadridge Financial Solutions, Inc.Common Stock",94.176,15.15,11/26/2020
1294,EME,B-,"EMCOR Group, Inc. Common Stock",94.176,31.16,12/13/2020
1296,INCY,B-,Incyte Corporation - Common Stock,94.151,1.85,11/8/2020
1297,MNST,B-,Monster Beverage Corporation - Common Stock,94.141,14.23,11/30/2020
1298,URBN,B-,"Urban Outfitters, Inc. - Common Stock",94.14,23.01,12/17/2020
1299,DORM,B-,"Dorman Products, Inc. - Common Stock",94.11,5.42,12/12/2020
1300,GIS,B-,"General Mills, Inc. Common Stock",94.078,4.22,10/18/2020
1301,HIW,B-,"Highwoods Properties, Inc. Common Stock",94.067,14.14,12/9/2020
1302,BMY,B-,Bristol-Myers Squibb Company Common Stock,94.052,5.79,12/17/2020
1303,CWK,B-,Cushman & Wakefield plc Ordinary Shares,94.019,35.45,12/11/2020
1304,NVDA,B-,NVIDIA Corporation - Common Stock,93.97,9.68,12/13/2020
1305,NUAN,B-,"Nuance Communications, Inc. - Common Stock",93.961,30.87,12/9/2020
1306,TRGP,B-,"Targa Resources, Inc. Common Stock",93.943,77.42,12/4/2020
1307,MANT,B-,ManTech International Corporation - Class A Commo,93.904,16.49,12/15/2020
1308,MOH,B-,Molina Healthcare Inc Common Stock,93.882,10.34,10/31/2020
1309,OKE,B-,"ONEOK, Inc. Common Stock",93.874,47.96,12/15/2020
1310,PAGS,B-,PagSeguro Digital Ltd. Class A Common Shares,93.867,45.55,12/16/2020
1311,REYN,B-,Reynolds Consumer Products Inc. - Common Stock,93.861,-0.94,12/16/2020
1312,INTC,B-,Intel Corporation - Common Stock,93.852,-2.18,12/9/2020
1313,MPW,B-,"Medical Properties Trust, Inc. common stock",93.813,23.64,12/16/2020
1314,FTDR,B-,"frontdoor, inc. - Common Stock",93.81,21.08,12/14/2020
1315,MET,B-,"MetLife, Inc. Common Stock",93.809,16.2,12/16/2020
1316,TYL,B-,"Tyler Technologies, Inc. Common Stock",93.806,37.22,11/6/2020
1317,ADSK,B-,"Autodesk, Inc. - Common Stock",93.802,32.45,11/28/2020
1318,BSY,B-,"Bentley Systems, Incorporated - Class B Common St",93.798,14.86,12/1/2020
1319,GDDY,B-,GoDaddy Inc. Class A Common Stock,93.794,23.14,12/10/2020
1320,MIME,B-,Mimecast Limited - Ordinary Shares,93.79,9.62,12/18/2020
1321,GPK,B-,Graphic Packaging Holding Company,93.79,16.38,12/17/2020
1322,RMBS,B-,"Rambus, Inc. - Common Stock",93.769,30.11,12/11/2020
1323,LFUS,B-,"Littelfuse, Inc. - Common Stock",93.756,42.1,12/11/2020
1324,nue,B-,Nucor Corporation Common Stock,93.746,14.78,12/16/2020
1325,TV,B-,Grupo Televisa S.A. Common Stock,93.738,28.83,12/4/2020
1326,QTS,B-,"QTS Realty Trust, Inc. Class A Common Stock",93.713,-1.01,11/21/2020
1327,MKC,B-,"McCormick & Company, Incorporated Common Stock",93.706,-0.13,10/28/2020
1328,VALE,B-,VALE S.A.  American Depositary Shares Each Repres,93.69,49.7,10/30/2020
1329,BKNG,B-,Booking Holdings Inc. - Common Stock,93.684,21.17,11/17/2020
1330,PVH,B-,PVH Corp. Common Stock,93.677,37.81,12/15/2020
1331,SGEN,B-,"Seattle Genetics, Inc. - Common Stock",93.659,12.53,12/14/2020
1332,MLM,B-,"Martin Marietta Materials, Inc. Common Stock",93.648,18,11/22/2020
1333,RTX,B-,Raytheon Technologies Corporation Common Stock,93.646,21.46,12/10/2020
1334,WSC,B-,WillScot Corporation - Common Stock,93.642,26.09,12/16/2020
1335,ESNT,B-,Essent Group Ltd. Common Shares,93.627,23.38,12/18/2020
1336,DLB,B-,Dolby Laboratories Common Stock,93.62,41.79,12/4/2020
1337,BG,B-,Bunge Limited Bunge Limited,93.59,35.77,12/16/2020
1338,SMTC,B-,Semtech Corporation - Common Stock,93.584,37.82,12/13/2020
1339,RBA,B-,Ritchie Bros. Auctioneers Incorporated Common Sto,93.551,17.2,12/12/2020
1340,MASI,B-,Masimo Corporation - Common Stock,93.551,20.13,12/15/2020
1341,VEON,B-,VEON Ltd. - American Depositary Shares,93.535,19.57,12/15/2020
1342,LMT,B-,Lockheed Martin Corporation Common Stock,93.467,-10.69,12/13/2020
1343,AEE,B-,Ameren Corporation Common Stock,93.443,-0.57,12/15/2020
1344,ATUS,B-,"Altice USA, Inc. Class A Common Stock",93.439,30.65,12/11/2020
1345,YNDX,B-,Yandex N.V. - Class A Ordinary Shares,93.435,12.86,12/17/2020
1346,IAA,B-,"IAA, Inc. Common Stock",93.402,27.39,12/17/2020
1347,EVTC,B-,"Evertec, Inc. Common Stock",93.396,18.34,12/9/2020
1348,BGNE,B-,"BeiGene, Ltd. - American Depositary Shares",93.39,-9.1,12/14/2020
1349,JNPR,B-,"Juniper Networks, Inc. Common Stock",93.365,-5.31,11/10/2020
1350,ZBRA,B-,Zebra Technologies Corporation - Class A Common S,93.359,34,12/15/2020
1351,LN,B-,LINE Corporation American Depositary Shares (each,93.327,1.8,12/3/2020
1352,WMT,B-,Walmart Inc. Common Stock,93.314,7.82,12/8/2020
1353,FELE,B-,"Franklin Electric Co., Inc. - Common Stock",93.3,18.08,12/17/2020
1354,CVX,B-,Chevron Corporation Common Stock,93.287,16.54,11/27/2020
1355,PNW,B-,Pinnacle West Capital Corporation Common Stock,93.283,12.66,12/16/2020
1356,CCK,B-,"Crown Holdings, Inc.",93.278,30.37,12/17/2020
1357,THG,B-,Hanover Insurance Group Inc,93.269,20.86,12/18/2020
1358,TCBI,B-,"Texas Capital Bancshares, Inc. - Common Stock",93.259,88.47,12/17/2020
1359,HST,B-,"Host Hotels & Resorts, Inc. Common Stock",93.245,28.17,11/18/2020
1360,SUI,CCC+,"Sun Communities, Inc. Common Stock",93.243,17.39,11/10/2020
1361,BBVA,CCC+,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,93.236,79.81,12/18/2020
1362,FAST,CCC+,Fastenal Company - Common Stock,93.177,6.63,12/18/2020
1363,RACE,CCC+,Ferrari N.V. Common Shares,93.172,19.26,12/18/2020
1364,TOT,CCC+,Total S.A.,93.163,31.55,12/16/2020
1365,SEB,CCC+,Seaboard Corporation Common Stock,93.161,7.69,12/15/2020
1366,OSH,CCC+,"Oak Street Health, Inc. Common Stock",93.156,42.79,12/18/2020
1367,HPQ,CCC+,HP Inc. Common Stock,93.137,20.01,11/25/2020
1368,ADM,CCC+,Archer-Daniels-Midland Company Common Stock,93.129,3.79,12/17/2020
1369,NOMD,CCC+,Nomad Foods Limited Ordinary Shares,93.099,-12.42,12/16/2020
1370,MTZ,CCC+,"MasTec, Inc. Common Stock",93.051,44.59,12/13/2020
1371,WAL,CCC+,Western Alliance Bancorporation Common Stock (DE),93.047,74.27,12/7/2020
1372,BMCH,CCC+,"BMC Stock Holdings, Inc. - Common Stock",93.032,14.22,12/12/2020
1373,STE,CCC+,STERIS plc Ordinary Shares,93.024,4.16,12/18/2020
1374,DLTR,CCC+,"Dollar Tree, Inc. - Common Stock",92.997,27.29,12/18/2020
1375,PAG,CCC+,"Penske Automotive Group, Inc. Common Stock",92.994,22.29,11/19/2020
1376,FMC,CCC+,FMC Corporation Common Stock,92.963,2.09,12/11/2020
1377,MKL,CCC+,Markel Corporation Common Stock,92.937,4.1,12/17/2020
1378,SNV,CCC+,Synovus Financial Corp. Common Stock,92.917,47.72,12/17/2020
1379,PSXP,CCC+,Phillips 66 Partners LP Common Units representing,92.904,16.6,12/1/2020
1380,TTEK,CCC+,"Tetra Tech, Inc. - Common Stock",92.894,29.4,11/24/2020
1381,FISV,CCC+,"Fiserv, Inc. - Common Stock",92.889,8,12/11/2020
1382,PPL,CCC+,PPL Corporation Common Stock,92.875,1.08,10/28/2020
1383,IHG,CCC+,Intercontinental Hotels Group American Depositary,92.865,16.84,12/11/2020
1384,ED,CCC+,"Consolidated Edison, Inc. Common Stock",92.854,-2.94,12/16/2020
1385,AFG,CCC+,"American Financial Group, Inc. Common Stock",92.818,27.29,12/15/2020
1386,GD,CCC+,General Dynamics Corporation Common Stock,92.81,9.18,11/3/2020
1387,AMH,CCC+,American Homes 4 Rent Common Shares of Beneficial,92.801,2.58,12/15/2020
1388,WM,CCC+,"Waste Management, Inc. Common Stock",92.798,3.17,9/8/2020
1389,NI,CCC+,NiSource Inc Common Stock,92.791,3.83,12/15/2020
1390,SID,CCC+,Companhia Siderurgica Nacional S.A. Common Stock,92.778,84.49,12/16/2020
1391,ORCL,CCC+,Oracle Corporation Common Stock,92.77,6.59,12/17/2020
1392,GWRE,CCC+,"Guidewire Software, Inc. Common Stock",92.68,18.95,12/11/2020
1393,SCHW,CCC+,Charles Schwab Corporation (The) Common Stock,92.678,109.56,11/8/2020
1394,MGA,CCC+,"Magna International, Inc. Common Stock",92.674,40.97,12/2/2020
1395,PKI,CCC+,"PerkinElmer, Inc. Common Stock",92.662,21.51,11/24/2020
1396,BWXT,CCC+,"BWX Technologies, Inc. Common Stock",92.645,2.17,12/17/2020
1397,LCII,CCC+,LCI Industries,92.639,21.58,12/15/2020
1398,CHRW,CCC+,"C.H. Robinson Worldwide, Inc. - Common Stock",92.637,-9.77,12/17/2020
1399,WMGI,CCC+,Wright Medical Group N.V. - Ordinary Shares,92.625,-1.39,12/14/2020
1400,AGCO,CCC+,AGCO Corporation Common Stock,92.599,32.88,12/11/2020
1401,PH,CCC+,Parker-Hannifin Corporation Common Stock,92.594,31.38,11/11/2020
1402,WSO,CCC+,"Watsco, Inc. Common Stock",92.583,-0.56,12/14/2020
1403,PRGO,CCC+,Perrigo Company plc Ordinary Shares,92.571,0.73,12/16/2020
1404,NVR,CCC+,"NVR, Inc. Common Stock",92.486,5.22,11/29/2020
1405,OMF,CCC+,"OneMain Holdings, Inc. Common Stock",92.483,41.36,12/12/2020
1406,PSX,CCC+,Phillips 66 Common Stock,92.424,12.31,12/5/2020
1407,LW,CCC+,"Lamb Weston Holdings, Inc. Common Stock",92.397,15.88,12/12/2020
1408,MPC,CCC+,Marathon Petroleum Corporation Common Stock,92.392,25.7,12/13/2020
1409,HES,CCC+,Hess Corporation Common Stock,92.377,33.19,12/8/2020
1410,CMI,CCC+,Cummins Inc. Common Stock,92.365,5.68,11/30/2020
1411,FSV,CCC+,FirstService Corporation - Subordinate Voting Sha,92.318,5.24,12/18/2020
1412,AMED,CCC+,Amedisys Inc - Common Stock,92.311,17.35,12/18/2020
1413,PRLB,CCC+,"Proto Labs, Inc. Common stock",92.305,12.9,12/15/2020
1414,CFR,CCC+,"Cullen/Frost Bankers, Inc. Common Stock",92.295,28.81,11/23/2020
1415,CENTA,CCC+,Central Garden & Pet Company - Class A Common Sto,92.251,1.15,12/5/2020
1416,LECO,CCC+,"Lincoln Electric Holdings, Inc. - Common Shares",92.249,29.96,11/19/2020
1417,RP,CCC+,"RealPage, Inc. - Common Stock",92.245,18.35,12/12/2020
1418,JPM,CCC+,JP Morgan Chase & Co. Common Stock,92.24,21.7,12/10/2020
1419,WH,CCC+,"Wyndham Hotels & Resorts, Inc. Common Stock",92.235,6.3,12/13/2020
1420,MMM,CCC+,3M Company Common Stock,92.213,3.6,12/10/2020
1421,CGNX,CCC+,Cognex Corporation - Common Stock,92.184,30.89,12/10/2020
1422,HLI,CCC+,"Houlihan Lokey, Inc. Class A Common Stock",92.127,17.3,12/12/2020
1423,UMC,CCC+,United Microelectronics Corporation (NEW) Common,92.124,80.72,12/15/2020
1424,AWK,CCC+,"American Water Works Company, Inc. Common Stock",92.123,8.59,12/12/2020
1425,BEPC,CCC+,Brookfield Renewable Corporation Class A Subordin,92.103,-29.8,12/11/2020
1426,IPGP,CCC+,IPG Photonics Corporation - Common Stock,92.084,29.89,12/8/2020
1427,AIZ,CCC+,"Assurant, Inc. Common Stock",92.075,6.96,12/11/2020
1428,AXP,CCC+,American Express Company Common Stock,92.038,15.03,12/11/2020
1429,DOW,CCC+,Dow Inc. Common Stock,91.985,6.96,12/1/2020
1430,MPWR,CCC+,"Monolithic Power Systems, Inc. - Common Stock",91.963,35.02,12/1/2020
1431,CDAY,CCC+,Ceridian HCM Holding Inc. Common Stock,91.962,16.46,12/16/2020
1432,LRCX,CCC+,Lam Research Corporation - Common Stock,91.934,56.52,12/18/2020
1433,MCK,CCC+,McKesson Corporation Common Stock,91.918,12.52,12/5/2020
1434,FHN,CCC+,First Horizon National Corporation Common Stock,91.842,34.06,12/7/2020
1435,OHI,CCC+,"Omega Healthcare Investors, Inc. Common Stock",91.824,21.12,12/17/2020
1436,AMZN,CCC+,"Amazon.com, Inc. - Common Stock",91.732,9.7,11/16/2020
1437,LDOS,CCC+,"Leidos Holdings, Inc. Common Stock",91.714,16.5,12/15/2020
1438,AMGN,CCC+,Amgen Inc. - Common Stock,91.712,-7.21,11/4/2020
1439,SWKS,CCC+,"Skyworks Solutions, Inc. - Common Stock",91.686,6.39,12/4/2020
1440,ABBV,CCC+,AbbVie Inc. Common Stock,91.657,16.44,12/3/2020
1441,AIG,CCC+,"American International Group, Inc. New Common Sto",91.649,36.6,11/22/2020
1442,DE,CCC+,Deere & Company Common Stock,91.638,15.72,11/22/2020
1443,CWEN,CCC+,"Clearway Energy, Inc. Class C Common Stock",91.637,23.28,12/17/2020
1444,AES,CCC+,The AES Corporation Common Stock,91.622,17.56,12/16/2020
1445,STT,CCC+,State Street Corporation Common Stock,91.487,14.32,12/18/2020
1446,BEKE,CCC+,KE Holdings Inc American Depositary Shares (each,91.46,12.61,12/15/2020
1447,UGI,CCC+,UGI Corporation Common Stock,91.453,10.89,11/27/2020
1448,CHTR,CCC,"Charter Communications, Inc. - Class A Common Sto",91.412,2.03,12/18/2020
1449,MORN,CCC,"Morningstar, Inc. - Common Stock",91.412,36.01,12/17/2020
1450,WMG,CCC,Warner Music Group Corp. - Class A Common Stock,91.412,33.03,12/15/2020
1451,CAE,CCC,CAE Inc. Ordinary Shares,91.38,83.36,12/16/2020
1452,ATO,CCC,Atmos Energy Corporation Common Stock,91.361,9.92,12/16/2020
1453,SHW,CCC,Sherwin-Williams Company (The) Common Stock,91.356,4.16,11/27/2020
1454,CHH,CCC,"Choice Hotels International, Inc. Common Stock",91.315,8.92,12/18/2020
1455,RPRX,CCC,Repros Therapeutics Inc. - Common Stock,91.31,8.38,12/16/2020
1456,tdg,CCC,Transdigm Group Incorporated Transdigm Group Inc.,91.307,21.96,12/18/2020
1457,DELL,CCC,Dell Technologies Inc. Class C Common Stock,91.258,12.57,12/10/2020
1458,SSNC,CCC,"SS&C; Technologies Holdings, Inc. - Common Stock",91.252,17.46,12/17/2020
1459,CTLT,CCC,"Catalent, Inc. Common Stock",91.183,18.34,12/17/2020
1460,SYNH,CCC,"Syneos Health, Inc. - Class A Common Stock",91.162,23.23,12/15/2020
1461,ALV,CCC,"Autoliv, Inc. Common Stock",91.127,26.65,12/10/2020
1462,NWS,CCC,News Corporation - Class B Common Stock,91.121,14.36,12/18/2020
1463,AMAT,CCC,"Applied Materials, Inc. - Common Stock",91.103,56.01,12/12/2020
1464,NOC,CCC,Northrop Grumman Corporation Common Stock,91.088,-7.76,12/1/2020
1465,FB,CCC,"Facebook, Inc. - Class A Common Stock",91.08,8.67,12/17/2020
1466,SYY,CCC,Sysco Corporation Common Stock,91.008,9.42,12/15/2020
1467,PM,CCC,Philip Morris International Inc Common Stock,90.907,8.82,12/8/2020
1469,MSCI,CCC,MSCI Inc Common Stock,90.903,25.49,12/16/2020
1468,RJF,CCC,"Raymond James Financial, Inc. Common Stock",90.903,29.66,11/29/2020
1470,EW,CCC,Edwards Lifesciences Corporation Common Stock,90.886,4.24,11/29/2020
1471,CRUS,CCC,"Cirrus Logic, Inc. - Common Stock",90.86,21.26,12/11/2020
1472,PPD,CCC,"PPD, Inc. - Common Stock",90.84,-1.44,12/16/2020
1473,ENTG,CCC,"Entegris, Inc. - Common Stock",90.831,44.85,12/5/2020
1474,WMB,CCC,"Williams Companies, Inc. (The) Common Stock",90.74,5.11,11/5/2020
1475,CDNS,CCC,"Cadence Design Systems, Inc. - Common Stock",90.712,27.67,12/4/2020
1476,CRM,CCC,Salesforce.com Inc Common Stock,90.682,-6.43,12/14/2020
