Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
928,RCII,BB,Rent-A-Center Inc. - Common Stock,97.668,21.18,12/11/2020
929,fox,BB,"Twenty-First Century Fox, Inc. - Class B Common S",97.659,-0.03,11/25/2020
930,TENB,BB,"Tenable Holdings, Inc. - Common Stock",97.657,15.51,11/29/2020
931,ATCO,BB,Atlas Corp. Common Shares,97.654,4.48,12/10/2020
932,LZB,BB,La-Z-Boy Incorporated Common Stock,97.652,25.29,12/16/2020
933,RMR,BB,The RMR Group Inc. - Class A Common Stock,97.651,30.91,12/17/2020
934,ZNGA,BB,Zynga Inc. - Class A Common Stock,97.648,13.97,12/17/2020
935,KMX,BB,CarMax Inc,97.644,-2.58,11/25/2020
937,KLIC,BB,"Kulicke and Soffa Industries, Inc. - Common Stock",97.642,44.36,12/4/2020
936,UHAL,BB,Amerco - Common Stock,97.642,18.89,12/18/2020
938,PII,BB,Polaris Industries Inc. Common Stock,97.639,8.92,12/18/2020
939,INSM,BB,"Insmed, Inc. - Common Stock",97.635,14.16,12/18/2020
940,MOR,BB,MorphoSys AG - American Depositary Shares,97.624,-14.58,12/16/2020
941,Smg,BB,Scotts Miracle-Gro Company (The) Common Stock,97.618,27.98,12/14/2020
942,SPB,BB,"Spectrum Brands Holdings, Inc. Common Stock",97.616,29.78,12/17/2020
943,RCM,BB,R1 RCM Inc. - Common Stock,97.616,42.87,12/15/2020
944,KALU,BB,Kaiser Aluminum Corporation - Common Stock,97.602,55.19,12/8/2020
945,CREE,BB,"Cree, Inc. - Common Stock",97.594,46.31,12/10/2020
946,CMD,BB,Cantel Medical Corp. Common Stock,97.593,79.47,12/11/2020
947,well,BB,Welltower Inc. Common Stock,97.591,16.83,12/13/2020
948,ADUS,BB,Addus HomeCare Corporation - Common Stock,97.583,16.92,12/13/2020
949,AMKR,BB,"Amkor Technology, Inc. - Common Stock",97.564,37.32,12/13/2020
950,BIDU,BB,"Baidu, Inc. - American Depositary Shares, each re",97.559,50.91,12/16/2020
951,LILA,BB,Liberty Global plc - Class A Ordinary Shares,97.557,68.93,12/17/2020
952,EGHT,BB,8x8 Inc - Common Stock,97.554,104.27,12/16/2020
953,ACLS,BB,"Axcelis Technologies, Inc. - Common Stock",97.546,29.58,12/15/2020
954,MNRO,BB,"Monro, Inc.  - Common Stock",97.545,24.97,12/13/2020
955,GSHD,BB,"Goosehead Insurance, Inc. - Class A Common Stock",97.544,64.46,11/22/2020
956,enr,BB,"Energizer Holdings, Inc. Common Stock",97.54,8.15,11/4/2020
957,EVA,BB,"Enviva Partners, LP Common units representing lim",97.53,14.9,12/12/2020
958,ATVI,BB,"Activision Blizzard, Inc - Common Stock",97.528,10.59,11/18/2020
959,ZG,BB,"Zillow Group, Inc. - Class A Common Stock",97.518,47.01,12/16/2020
960,NNI,BB,"Nelnet, Inc. Common Stock",97.517,8.41,12/9/2020
961,PNTG,BB,"The Pennant Group, Inc. - Common Stock",97.51,70.06,12/15/2020
962,BGCP,BB,"BGC Partners, Inc. - Class A Common Stock",97.508,81.19,12/4/2020
963,HPE,BB,Hewlett Packard Enterprise Company Common Stock,97.503,28.92,12/16/2020
